青森ラビナ店,1131,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,017-721-5066,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
盛岡菜園店,401,07:30～21:00,07:30～21:00,07:30～21:00,07:30～21:00,019-606-0130,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール盛岡店,516,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,019-605-2746,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
盛岡西バイパス店,1162,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,019-614-0257,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール盛岡南店,707,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,019-631-3108,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台エスパル店,174,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,022-711-1351,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台クリスロード店,245,07:30～22:00,07:30～22:30,08:00～22:30,08:00～22:00,022-265-6610,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ホテルグランテラス 仙台国分町店,215,07:30～22:00,07:30～24:00,08:00～24:00,08:00～22:00,022-712-5272,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台アエル店,374,07:30～21:00,07:30～21:00,07:30～21:00,07:30～21:00,022-723-8039,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台パルコ店,868,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,022-774-8201,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台フォーラス店,885,08:00～22:00,08:00～22:00,08:00～22:00,08:00～22:00,022-264-5451,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール名取店,739,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,022-381-0817,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台市名坂店,1205,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,022-771-5481,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
泉中央セルバ店,391,07:30～22:00,07:30～22:00,07:30～22:00,07:30～21:00,022-218-3620,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台泉パークタウン タピオ店,871,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,022-342-7961,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール富谷店,490,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,022-779-0861,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
